original_card,destination,disposition,reason
MAP-OBS-01,D0,合并,与C03共用一份observer和配对预算，不各自复制测量
MAP-FACT-02,D2,保留收紧,先真实能力/输入依赖，后小shadow；不直接改生产key
MAP-QUOT-03,D7,降级可选,停止full-result大商；先复用A封闭小域，非主线前置
MAP-STATE-04,D7,合并可选,与restricted quotient共用Φ/A；checkpoint单列
MAP-SENSE-05,D6,合并延后,使用D0/D3–D5统一响应数据；先冻结分布和尺度
MAP-LOCAL-06,D2,第二阶段条件,真实成本与标签闸门后再考虑至多两个专家；首批不训练
MAP-SCALE-07,D6,合并,与PB05/C07共用三问1–5核谱系和空核检查
PB00-WITNESS,D0,合并去重,A包已足够的008证据先回读；只补实际缺口
PB01-REENTRY,D3,保留,加入计算模板≠张量同构、近资源下界参照和反匹配
PB02-EARLY-PREFIX,D4,重写,旧Step1前缀降为对照，主生成是依赖理想/早出口闭包
PB03-BACKING-CLIFF,D4,合并,同一Q1生成器使用真实Task-local backing；不是独立再造排序器
PB04-CACHE-INVERSION,D5,保留,先完整080同plan回读，再新单元前置预测；008全miss排除归因
PB05-CORE-CONTINUATION,D6,合并,各q宏冻结后warm/cold，父轨迹成本不免费
PB06-LAG-CELLS,D3,可选支暂缓,确实使用lag族才启用；parameter-to-plan去重不是D15
C01,D1,合并,薄IR与receipt，不造通用平台
C02,D1,合并收紧,目标联合拓扑序、编码域、P_ord/P_exec和操作数/时长分开
C03,D0,合并,统一可观测能力manifest而非另一份hook
C04,D7 + D1,拆分,双账本安全架构立即入D1；强商研究留D7可选
C05,D3,合并,与PB01共用word宏/迁移预算，不平铺70次重复面板
C06,D2,合并更新,补P23 actual route，不将E2统称代理
C07,D6,合并,三问全部核数覆盖，不能用空核占位代替实际多核扩展
C08,D8,条件下游,先固定候选流再同预算；全100矩阵另批
